,Algorithm,Codebook Size,Cluster Purity
0,GR-median,4,0.33259619637328613
1,FL-mean,4,0.2942531077237721
2,FL-median,4,0.34796037296037297
3,GR-mean,4,0.32135160098522164
4,GR-median,4,0.3636303284416492
5,FL-mean,4,0.37007389162561577
6,FL-median,4,0.5132653061224489
7,GR-mean,4,0.3551748251748251
8,GR-median,4,0.32580492424242424
9,FL-mean,4,0.4200854700854701
10,FL-median,4,0.42876647834274956
11,GR-mean,4,0.32580492424242424
12,GR-median,4,0.35798319327731093
13,FL-mean,4,0.4651419878296146
14,FL-median,4,0.4551419878296146
15,GR-mean,4,0.35798319327731093
16,GR-median,4,0.41020428124301367
17,FL-mean,4,0.3395169645169645
18,FL-median,4,0.3390692640692641
19,GR-mean,4,0.43338938485997314
20,GR-median,4,0.3166439465781571
21,FL-mean,4,0.2534908700322234
22,FL-median,4,0.4579086055058595
23,GR-mean,4,0.3166439465781571
24,GR-median,4,0.3765203154236835
25,FL-mean,4,0.47825549789967875
26,FL-median,4,0.4849624060150376
27,GR-mean,4,0.3765203154236835
28,GR-median,4,0.3191093591691996
29,FL-mean,4,0.4839379370629371
30,FL-median,4,0.542792501616031
31,GR-mean,4,0.3191093591691996
32,GR-median,4,0.3709795321637427
33,FL-mean,4,0.45391414141414144
34,FL-median,4,0.8021739130434782
35,GR-mean,4,0.3709795321637427
36,GR-median,4,0.3722374374851155
37,FL-mean,4,0.3542168674698795
38,FL-median,4,0.5079365079365079
39,GR-mean,4,0.3668696246282453
40,GR-median,8,0.4566974031781102
41,FL-mean,8,0.43170995670995677
42,FL-median,8,0.4657085833556422
43,GR-mean,8,0.46461004191781663
44,GR-median,8,0.39205955334987597
45,FL-mean,8,0.40742063492063485
46,FL-median,8,0.6320921985815603
47,GR-mean,8,0.39413914042946296
48,GR-median,8,0.418339027530204
49,FL-mean,8,0.3962989203778678
50,FL-median,8,0.5206791754756871
51,GR-mean,8,0.40613298679155463
52,GR-median,8,0.4377635409055554
53,FL-mean,8,0.5751555735930736
54,FL-median,8,0.5928213276836158
55,GR-mean,8,0.42558821623023074
56,GR-median,8,0.40021950567163334
57,FL-mean,8,0.35594360836296324
58,FL-median,8,0.6074422248335292
59,GR-mean,8,0.42199433987997825
60,GR-median,8,0.4088979512870642
61,FL-mean,8,0.4080245388669302
62,FL-median,8,0.5313725490196078
63,GR-mean,8,0.3996266544757924
64,GR-median,8,0.44563606819245916
65,FL-mean,8,0.5410401002506265
66,FL-median,8,0.5512820512820513
67,GR-mean,8,0.4467348743210812
68,GR-median,8,0.4610497731701376
69,FL-mean,8,0.5716623701640825
70,FL-median,8,0.6916158077154912
71,GR-mean,8,0.4610497731701376
72,GR-median,8,0.38941901995908074
73,FL-mean,8,0.5567749215070644
74,FL-median,8,0.7833333333333333
75,GR-mean,8,0.38941901995908074
76,GR-median,8,0.410532523032523
77,FL-mean,8,0.4608119427287601
78,FL-median,8,0.6561291421756538
79,GR-mean,8,0.410532523032523
80,GR-median,12,0.513174704083795
81,FL-mean,12,0.5490900958815398
82,FL-median,12,0.5724177868914712
83,GR-mean,12,0.513174704083795
84,GR-median,12,0.4600378787878787
85,FL-mean,12,0.6013166144200627
86,FL-median,12,0.6659609913147649
87,GR-mean,12,0.4600378787878787
88,GR-median,12,0.44317351328220894
89,FL-mean,12,0.47200276575276573
90,FL-median,12,0.6975673019790666
91,GR-mean,12,0.43203416953416945
92,GR-median,12,0.530250420875421
93,FL-mean,12,0.7049766859549468
94,FL-median,12,0.6785657596371882
95,GR-mean,12,0.530250420875421
96,GR-median,12,0.4486405185203812
97,FL-mean,12,0.5030186309791573
98,FL-median,12,0.6205882352941177
99,GR-mean,12,0.4180772443930339
100,GR-median,12,0.4490943267259057
101,FL-mean,12,0.5499452992659514
102,FL-median,12,0.5909844582994489
103,GR-mean,12,0.4490943267259057
104,GR-median,12,0.4659676072719551
105,FL-mean,12,0.6010799696570448
106,FL-median,12,0.5715138396956578
107,GR-mean,12,0.47100267915194666
108,GR-median,12,0.5137652306101503
109,FL-mean,12,0.5395639613613795
110,FL-median,12,0.6398351648351648
111,GR-mean,12,0.5137652306101503
112,GR-median,12,0.45143981835158303
113,FL-mean,12,0.6000799924712968
114,FL-median,12,0.6153116531165311
115,GR-mean,12,0.45143981835158303
116,GR-median,12,0.4175929243170623
117,FL-mean,12,0.5441878297141455
118,FL-median,12,0.7042592592592594
119,GR-mean,12,0.42036412512218957
120,GR-median,16,0.4842764378478664
121,FL-mean,16,0.5556995758676432
122,FL-median,16,0.6885292898590771
123,GR-mean,16,0.4842764378478664
124,GR-median,16,0.5142361111111111
125,FL-mean,16,0.6869543650793651
126,FL-median,16,0.7457107843137256
127,GR-mean,16,0.5124732905982906
128,GR-median,16,0.4875330225330225
129,FL-mean,16,0.5484967320261439
130,FL-median,16,0.6749756931570057
131,GR-mean,16,0.4730885780885781
132,GR-median,16,0.5100574588809883
133,FL-mean,16,0.689004329004329
134,FL-median,16,0.6644444444444446
135,GR-mean,16,0.5100574588809883
136,GR-median,16,0.42003371524048216
137,FL-mean,16,0.5502055872854192
138,FL-median,16,0.6447000478513084
139,GR-mean,16,0.42003371524048216
140,GR-median,16,0.4729319699907935
141,FL-mean,16,0.5361358396720238
142,FL-median,16,0.6568878334503335
143,GR-mean,16,0.47065022395904754
144,GR-median,16,0.5088833194096352
145,FL-mean,16,0.6647143184759284
146,FL-median,16,0.6722119231530996
147,GR-mean,16,0.5088833194096352
148,GR-median,16,0.5413370026373123
149,FL-mean,16,0.6981895141895141
150,FL-median,16,0.7577777777777778
151,GR-mean,16,0.5517073730076826
152,GR-median,16,0.4952493686868687
153,FL-mean,16,0.6358571983571983
154,FL-median,16,0.7325460271317831
155,GR-mean,16,0.48863172162804513
156,GR-median,16,0.489299061262624
157,FL-mean,16,0.5729118884745019
158,FL-median,16,0.7082364257616216
159,GR-mean,16,0.47942709628229985
160,GR-median,20,0.5414762706429372
161,FL-mean,20,0.5704016986911724
162,FL-median,20,0.7503607055331192
163,GR-mean,20,0.5332671957671957
164,GR-median,20,0.5291460173813116
165,FL-mean,20,0.6358806818181819
166,FL-median,20,0.776969696969697
167,GR-mean,20,0.5241582722832724
168,GR-median,20,0.4939849624060151
169,FL-mean,20,0.5623730378578025
170,FL-median,20,0.7146047590239967
171,GR-mean,20,0.48947368421052634
172,GR-median,20,0.5088297667245036
173,FL-mean,20,0.663233082706767
174,FL-median,20,0.6751265867921837
175,GR-mean,20,0.5161172161172162
176,GR-median,20,0.4442842288430524
177,FL-mean,20,0.5109968081435473
178,FL-median,20,0.6241732013113592
179,GR-mean,20,0.4442842288430524
180,GR-median,20,0.4993650793650793
181,FL-mean,20,0.6031880252100841
182,FL-median,20,0.6710515873015874
183,GR-mean,20,0.5076984126984125
184,GR-median,20,0.4544546097177677
185,FL-mean,20,0.6242139439507861
186,FL-median,20,0.6129211918685603
187,GR-mean,20,0.4572115019483441
188,GR-median,20,0.5839342288258698
189,FL-mean,20,0.657889515455305
190,FL-median,20,0.7033625730994152
191,GR-mean,20,0.5839342288258698
192,GR-median,20,0.5308730158730158
193,FL-mean,20,0.6896992047807264
194,FL-median,20,0.7854255690546013
195,GR-mean,20,0.5310527544351074
196,GR-median,20,0.4991760888964837
197,FL-mean,20,0.5980269607843137
198,FL-median,20,0.6990214646464646
199,GR-mean,20,0.49744188559978036
