,Number of Splits,Trial,Distance,Average
0,2,0,0.23112462740111245,FL-mean
1,2,0,1.4274040045286638,GR-mean
2,2,0,1.2759689019436264,Euclidean-mean
3,2,0,1.7320482171401175,Random
0,2,1,0.10164024402779696,FL-mean
1,2,1,0.4669251833557962,GR-mean
2,2,1,1.1861441051271115,Euclidean-mean
3,2,1,1.732021954909851,Random
0,2,2,0.04280164539575219,FL-mean
1,2,2,0.2159209117002417,GR-mean
2,2,2,1.0302817935317656,Euclidean-mean
3,2,2,1.7320354191414844,Random
0,2,3,0.15131555279423647,FL-mean
1,2,3,0.17683541730500252,GR-mean
2,2,3,1.2689401866219492,Euclidean-mean
3,2,3,1.732017615226052,Random
0,2,4,0.16671048086282575,FL-mean
1,2,4,0.41788294318570424,GR-mean
2,2,4,1.0148571770058243,Euclidean-mean
3,2,4,1.7318444889653395,Random
0,2,5,0.2902721283117954,FL-mean
1,2,5,0.5850047459718537,GR-mean
2,2,5,1.0840187527725358,Euclidean-mean
3,2,5,1.7319781656711446,Random
0,2,6,0.19324304704345266,FL-mean
1,2,6,0.7018076429282554,GR-mean
2,2,6,1.2757838802644725,Euclidean-mean
3,2,6,1.7320257568784116,Random
0,2,7,0.1267568595843944,FL-mean
1,2,7,0.7032354625131495,GR-mean
2,2,7,1.0043759354297037,Euclidean-mean
3,2,7,1.7319993204833002,Random
0,2,8,0.10049696516676955,FL-mean
1,2,8,0.6110404523082263,GR-mean
2,2,8,1.4200991766009583,Euclidean-mean
3,2,8,1.731957966474293,Random
0,2,9,0.108755414479662,FL-mean
1,2,9,0.6863600027609555,GR-mean
2,2,9,1.097662875273118,Euclidean-mean
3,2,9,1.732036987571944,Random
0,2,10,0.11476350870496405,FL-mean
1,2,10,0.4169542757949492,GR-mean
2,2,10,1.0330381180199024,Euclidean-mean
3,2,10,1.731985982436128,Random
0,2,11,0.2475832361187337,FL-mean
1,2,11,0.2369259621509754,GR-mean
2,2,11,1.5820863433127295,Euclidean-mean
3,2,11,1.7318764887873768,Random
0,2,12,0.1386105749722552,FL-mean
1,2,12,0.1062568033694149,GR-mean
2,2,12,1.4168867524676316,Euclidean-mean
3,2,12,1.7319051104588008,Random
0,2,13,0.11967601657210701,FL-mean
1,2,13,0.24661808501066973,GR-mean
2,2,13,1.0456184936810962,Euclidean-mean
3,2,13,1.7317904896419554,Random
0,2,14,0.0759552977634679,FL-mean
1,2,14,0.5013888740788923,GR-mean
2,2,14,1.7239246062665354,Euclidean-mean
3,2,14,1.7320327446202683,Random
0,2,15,0.15102840026818345,FL-mean
1,2,15,0.8264487715551191,GR-mean
2,2,15,1.217975616700692,Euclidean-mean
3,2,15,1.7317859861044609,Random
0,2,16,0.07603941311070281,FL-mean
1,2,16,0.38309222890963196,GR-mean
2,2,16,1.089205442447629,Euclidean-mean
3,2,16,1.7319894670779015,Random
0,2,17,0.20372167941427713,FL-mean
1,2,17,0.49604348678745724,GR-mean
2,2,17,1.4079572553264585,Euclidean-mean
3,2,17,1.7319865532483023,Random
0,2,18,0.30124761549257006,FL-mean
1,2,18,0.3404123544350756,GR-mean
