,Noise,Distance from Center,Iterations,Cost
0,0.0,0.022118651364956738,2,8.37767896195237
1,0.8,0.022118651525093083,5,8.377678961952498
2,1.6,0.0221186527212004,6,8.377678961952398
3,2.4000000000000004,0.02211865152377549,8,8.377678961952356
4,3.2,0.02211865140983768,7,8.377678961952398
5,4.0,0.022118651523770474,7,8.377678961952356
6,4.800000000000001,0.022118651489839346,6,8.377678961952483
7,5.6000000000000005,0.022118651388841542,6,8.377678961952384
8,6.4,0.02211865070109122,6,8.37767896195237
9,7.2,0.022118651523750397,7,8.377678961952341
10,8.0,0.022118651523755414,7,8.377678961952327
11,8.8,0.022118651523742868,7,8.377678961952341
12,9.600000000000001,0.022118651523757926,7,8.377678961952398
