,Outlier Ratio,Euclidean,FL-Mean (Nguyen),FL-Mean (Ours),FL-Median (Ours),GR-Mean,GR-Median
0,0.0,0.0001464989992024943,0.0001464947745814924,0.00014649424824785494,0.00015719703308061047,1.2629202877045675,1.2734857997259714
1,0.01,0.009313643393104573,0.007296653120154944,0.007587323319565185,0.00015608960980446286,1.0360683323193949,1.049150321218191
2,0.02,0.012392752260115266,0.009382743451966567,0.009495953336179249,0.00015589915913424724,1.3017731441176867,1.2986474733584497
3,0.03,0.01882298623426884,0.011140841046597108,0.011250070367397062,0.00015963033710211233,1.4119621224062306,1.4077425625049134
4,0.04,0.022126172690858904,0.015256838790797991,0.014503465813901908,0.00016073934313148112,1.3600983543791496,1.385793271365224
5,0.05,0.02223815688769703,0.017659346601630432,0.01659689819505779,0.0001611889022769567,1.4130161506995402,1.4139383131774863
6,0.06,0.027413200754489598,0.019397882564236028,0.01810047178813172,0.00016348858220438075,1.2436646497796584,1.3166791190436287
7,0.07,0.02988288747264323,0.02338278623227298,0.02090047127530768,0.0001640623944591259,1.1727892368339918,1.1950669722342553
8,0.08,0.03209019208971106,0.024329885856138486,0.021037693083743363,0.00016875701332963046,1.2594335379554553,1.2940423720952325
9,0.09,0.0372813467768946,0.027178773766340817,0.025445601893305147,0.0001663512331542295,1.1619704445478163,1.153260387536393
10,0.1,0.03953324946218743,0.03010873178219473,0.02717406980327838,0.00016570323976065464,1.090062581005003,1.035073800578828
11,0.11,0.04278521124020247,0.032720973510900676,0.029737669691413816,0.00016584027152256834,1.4042777708686254,1.380653488038854
12,0.12,0.0503613566241087,0.034849964455082844,0.030385882286932852,0.000165969365831281,1.384917515355417,1.4012083409737708
13,0.13,0.053322421185373975,0.03827939453700028,0.03410255781199887,0.00016557824907639885,1.0519347237730716,1.0174581860150913
14,0.14,0.05703755382924481,0.04140822730677283,0.036368430453267125,0.0001666057454893676,1.2816094619564589,1.3209235470157812
15,0.15,0.06126146987243674,0.04427621619539991,0.03851576514457337,0.00016612123967793543,1.2343837843146341,1.338205109989807
16,0.16,0.06703688198155473,0.04751867085279865,0.040116936168994755,0.00016930409408085457,1.2784969797024979,1.3638620014884373
17,0.17,0.0756847692883984,0.047408781406872186,0.039682590927518205,0.0001722855183706369,1.393121986652678,1.3986918051377697
18,0.18,0.08074080679559822,0.0498863677142873,0.04089682902492496,0.00017406628184345202,1.3518966624213342,1.3256063841207388
19,0.19,0.08691824365670689,0.05422689989685203,0.0443178422205891,0.00017802184660501287,1.3789067021326034,1.3640623526596198
